State,Total_murders,Total_firearms,Total_Weapon_Used
California,1930,1368,3298
Texas,1459,1066,2525
Illinois3,941,799,1740
Georgia,646,522,1168
Pennsylvania,655,486,1141
Ohio,627,452,1079
Michigan,597,443,1040
North Carolina,595,421,1016
New York,628,367,995
Louisiana,543,445,988
Missouri,535,437,972
Tennessee,486,356,842
Virginia,482,352,834
Maryland,430,328,758
New Jersey,372,278,650
South Carolina,363,281,644
Indiana,348,287,635
Arizona,336,227,563
Kentucky,260,207,467
Oklahoma,243,171,414
Wisconsin,226,166,392
Arkansas,209,151,360
Nevada,209,141,350
Colorado,202,136,338
Washington,195,127,322
Mississippi,154,128,282
District of Columbia,136,105,241
Massachusetts,132,85,217
New Mexico,99,60,159
Minnesota,99,60,159
Kansas,96,61,157
Oregon,100,51,151
Connecticut,76,48,124
West Virginia,76,47,123
Iowa,71,43,114
Utah,71,42,113
Delaware,56,41,97
Alaska,52,43,95
U.S. Virgin Islands,42,34,76
Nebraska,41,30,71
Idaho,47,17,64
Hawaii,35,19,54
Montana,34,17,51
Rhode Island,29,12,41
Maine,20,11,31
South Dakota,21,7,28
Wyoming,19,6,25
New Hampshire,16,8,24
North Dakota,14,8,22
Vermont,14,6,20
Alabama,3,1,4
