Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1684691,5/20/2020,Georgia,Clayton (county),N/A,1,0,N/A
1684673,5/20/2020,Illinois,Peoria,2300 block of N Maryland St,1,0,N/A
1682432,5/17/2020,Michigan,Flint,2200 block of Cadillac St,1,0,N/A
1681557,5/16/2020,Georgia,White,Chitwood Cove Rd,1,0,N/A
1679922,5/14/2020,Missouri,Saint Louis,4000 block of Peck St,1,0,N/A
1675912,5/9/2020,Florida,Saint Petersburg,3738 18th Terrace S,1,0,N/A
1676223,5/9/2020,Georgia,Griffin,608 Hammock St,1,0,N/A
1673111,5/5/2020,Arizona,Tucson,800 block of W Roger Rd,1,0,N/A
1673119,5/5/2020,Texas,La Porte,10200 block of Old Orchard Rd,1,0,N/A
1671655,5/3/2020,Kentucky,Elizabethtown,1242 Woodland Dr,1,0,N/A
1670035,5/1/2020,Alabama,Pinson,9100 block of Cedar Mountain Rd,1,1,N/A
1665058,4/23/2020,Tennessee,Ooltewah,8548 River Birch Loop,1,0,N/A
1665094,4/23/2020,Georgia,Macon,289 CA-49,1,0,N/A
1664724,4/23/2020,Mississippi,Senatobia,1000 block of N Crockett Rd,1,0,N/A
1663572,4/21/2020,Colorado,Westminster,10700 block of Moore Circle,1,0,N/A
1663445,4/21/2020,Texas,Killeen,4500 block of Alan Kent Dr,1,0,N/A
1663620,4/20/2020,Pennsylvania,Philadelphia,2900 block of Secane Dr,1,0,N/A
1657394,4/11/2020,Georgia,Conley,1600 Block of Lamont Ave,1,1,N/A
1659684,4/9/2020,Ohio,Middle Point,301 E Lewis St,1,0,N/A
1653288,4/6/2020,Florida,Jacksonville,10300 Block of Monaco Dr,1,0,N/A
1652874,4/5/2020,Pennsylvania,Chester,2600 block of Swarts St,1,0,N/A
1651203,4/2/2020,Illinois,Thornton,Blackhawk Dr and Chicago Rd,1,0,N/A
1649813,3/31/2020,Indiana,Indianapolis,3200 block of N Tacoma Ave,1,0,N/A
1650049,3/31/2020,Texas,Houston,8100 block of Richmond Ave,1,0,N/A
1646390,3/26/2020,Tennessee,Memphis,2778 Pickering Dr,1,0,N/A
1641069,3/17/2020,Kentucky,Lexington,400 block of Campbell St,1,0,N/A
1640042,3/15/2020,Kentucky,Louisville,4200 block of Lees Lane,1,0,N/A
1639222,3/13/2020,Tennessee,Memphis,650 Gallan Dr,1,0,N/A
1636763,3/8/2020,North Carolina,Fairview,N/A,1,0,N/A
1629261,2/25/2020,Florida,Jacksonville,3500 block of Mecca St,1,0,N/A
1622731,2/16/2020,Tennessee,Memphis,1984 Bonnie Dr,1,0,N/A
1617744,2/9/2020,Pennsylvania,Pittsburgh,258 East Warrington Ave,1,0,N/A
1616601,2/7/2020,New Jersey,Browns Mills,21 Maricopa Trail,1,0,N/A
1616774,2/7/2020,Louisiana,Shreveport,3900 block of Merwin St,1,0,N/A
1612411,2/2/2020,Alabama,Harvest,101 Berrycreek Dr,1,0,N/A
1611651,2/1/2020,Tennessee,Jackson,2023 S Highland Ave,1,0,N/A
1611420,2/1/2020,Virginia,Richmond,1700 block of Southlawn Ave,1,0,N/A
1611369,1/31/2020,Texas,Clyde,CR 525,1,0,N/A
1609445,1/30/2020,Pennsylvania,Philadelphia,2100 block of N Lambert St,1,0,N/A
1609952,1/30/2020,Alabama,Mobile,1 East Interstate 65 Service Rd S,1,0,N/A
1605309,1/25/2020,Louisiana,Baton Rouge,1915 Birch St,1,0,N/A
1603241,1/22/2020,Washington,Seattle,1530 3rd Ave,1,7,N/A
1601442,1/19/2020,Indiana,Bloomington,1297 E Zinnia Dr,1,1,N/A
1586315,1/1/2020,South Carolina,Walterboro,Barracada Rd,2,0,N/A
1580445,12/25/2019,Texas,Buna,34060 US-96,1,0,N/A
1580278,12/24/2019,Alabama,Monroeville,Co Rd 42,1,0,N/A
1577156,12/21/2019,Texas,San Antonio,6310 Channel View,1,0,N/A
1572059,12/14/2019,Ohio,Sandusky,5000 block of Memphis Ave,1,0,N/A
1572029,12/14/2019,Ohio,Pataskala,323 Haystack Ct,1,0,N/A
1567437,12/8/2019,Tennessee,Memphis,397 Delta Rd,1,0,N/A
1566568,12/7/2019,Alabama,Birmingham,F L Shuttlesworth Dr and 33rd Terrace N,1,0,N/A
1561428,11/29/2019,Tennessee,Memphis,3700 block of Station Way,1,0,N/A
1560553,11/28/2019,South Carolina,Springfield,N/A,1,0,N/A
1554251,11/20/2019,California,Los Angeles,2042 W 41st St,1,0,N/A
1553904,11/20/2019,Missouri,Saint Louis,232 Tay Rd,1,0,N/A
1551098,11/16/2019,South Carolina,Pickens,Shady Grove Rd,1,0,N/A
1550315,11/15/2019,South Carolina,Lancaster,1700 block of Usher Rd,1,0,N/A
