Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1684263,5/20/2020,West Virginia,Huntington,1000 block of 22nd St,1,0,N/A
1684691,5/20/2020,Georgia,Clayton (county),N/A,1,0,N/A
1684670,5/18/2020,Florida,Miami,2721 SW 20th St,1,0,N/A
1682456,5/14/2020,Florida,Sebring,Cadagua Dr,1,0,N/A
1677795,5/12/2020,Florida,Miami,7843 NE 10th Ave,1,0,N/A
1676223,5/9/2020,Georgia,Griffin,608 Hammock St,1,0,N/A
1677427,5/9/2020,Missouri,O Fallon,400 block of Mar-Ton Estates Dr,1,0,N/A
1671217,5/3/2020,Indiana,Indianapolis,6000 East 38th St,1,0,N/A
1671464,5/2/2020,Texas,Houston,9118 Shagbark Dr,1,0,N/A
1668015,4/28/2020,Virginia,Petersburg,1700 block of Buckner St,1,0,N/A
1668922,4/27/2020,Texas,Amarillo,5500 block of Everett Ave,1,0,N/A
1664724,4/23/2020,Mississippi,Senatobia,1000 block of N Crockett Rd,1,0,N/A
1664439,4/22/2020,Texas,Houston,10100 Leawood Blvd,1,0,N/A
1662919,4/20/2020,Texas,San Antonio,8200 block of Broadway St,1,0,N/A
1658888,4/14/2020,Illinois,Chicago,3659 S Marshfield Ave,1,0,N/A
1653599,4/3/2020,Arkansas,Mountain Home,158 Panther Heights Dr,1,0,N/A
1650592,4/1/2020,Georgia,Helena (McRae-Helena),Collins St,1,0,N/A
1648472,3/30/2020,Alabama,Bessemer,500 block of 29th St N,1,0,N/A
1647218,3/27/2020,Florida,Bradenton,5900 block of 13th St Ct E,1,0,N/A
1643616,3/21/2020,Texas,Taylor,County Line Rd,1,0,N/A
1642768,3/19/2020,New Mexico,Albuquerque,300 Rhode Island St NE,1,0,N/A
1641895,3/18/2020,Missouri,Saint Louis (Northwoods),6700 block of Charlie Dooley Dr,1,0,N/A
1639651,3/14/2020,Utah,Ogden,325 9th St,1,0,N/A
1639222,3/13/2020,Tennessee,Memphis,650 Gallan Dr,1,0,N/A
1634779,3/5/2020,South Carolina,Mountain Rest,Trillium Dr,1,0,N/A
1631568,2/29/2020,Mississippi,Biloxi,200 block of Nixon St,1,0,N/A
1630676,2/27/2020,Missouri,Hazelwood,7400 block of Sieloff Dr,1,0,N/A
1630175,2/26/2020,Texas,Joaquin,N/A,1,0,N/A
1629042,2/25/2020,Illinois,Chicago,1238 E 79th St,1,4,N/A
1627699,2/23/2020,Tennessee,Memphis,7000 block of Kings Crown Dr,1,0,N/A
1623097,2/16/2020,Kentucky,Dunmor,Hunt Rd,1,0,N/A
1622731,2/16/2020,Tennessee,Memphis,1984 Bonnie Dr,1,0,N/A
1620073,2/12/2020,New York,New York (Manhattan),228 E 116th St,1,0,N/A
1620311,2/12/2020,Nebraska,Omaha,1405 N 35th St,1,0,N/A
1619553,2/9/2020,Louisiana,Chalmette,70 block of Thornton Dr,1,0,N/A
1613427,2/2/2020,South Carolina,Myrtle Beach,500 block of 65th Ave N,1,0,N/A
1611362,2/1/2020,Ohio,Ravenna,700 block of Woodgate Blvd,1,0,N/A
1612699,2/1/2020,Ohio,Hinckley,River Rd,1,0,N/A
1605978,1/26/2020,Ohio,Pataskala,50 block of Granville St,1,0,N/A
1604228,1/22/2020,Texas,Longview,1200 block of Scenic Dr,1,0,N/A
1600521,1/17/2020,Georgia,Columbus,6600 block of Dorsey Dr,1,0,N/A
1598980,1/17/2020,Texas,San Antonio,5907 Eckhert Rd,1,0,N/A
1596276,1/14/2020,Texas,Bellaire,5100 Maple St,1,0,N/A
1594264,1/11/2020,North Carolina,Sanford,Chatham St and S Moore St,1,0,N/A
1583856,12/29/2019,Oklahoma,Tulsa,1111 E 60th St,1,0,N/A
1580445,12/25/2019,Texas,Buna,34060 US-96,1,0,N/A
1577786,12/21/2019,California,San Diego,Biola Ave and Alosta St,1,0,N/A
