Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1683790,5/20/2020,Minnesota,Minneapolis,2900 block of Girard Ave N,1,0,N/A
1684263,5/20/2020,West Virginia,Huntington,1000 block of 22nd St,1,0,N/A
1684691,5/20/2020,Georgia,Clayton (county),N/A,1,0,N/A
1683750,5/19/2020,Arizona,Phoenix,2009 W Glendale Ave,1,2,N/A
1684470,5/19/2020,Missouri,Saint Louis,10700 block of Spring Garden Dr,1,1,N/A
1683739,5/19/2020,Oklahoma,Tulsa,5100 block of N Frankfort Ave,1,0,N/A
1684670,5/18/2020,Florida,Miami,2721 SW 20th St,1,0,N/A
1683121,5/18/2020,Florida,Homestead (Florida City),NW 13th St and Eighth Place,1,2,N/A
1683043,5/18/2020,North Carolina,Charlotte,Briarhill Dr,1,0,N/A
1683716,5/18/2020,Kansas,Kansas City,1100 block of Metropolitan Ave,1,0,N/A
1682233,5/17/2020,South Carolina,Saint Matthews,100 block of Bugleflower Ln,4,1,N/A
1681866,5/16/2020,Illinois,Elgin,300 block of St Charles St,1,0,N/A
1681836,5/16/2020,Virginia,Norfolk,300 block of Whitehead Ave,1,0,N/A
1681451,5/16/2020,Indiana,Gary,N/A,1,0,N/A
1682056,5/16/2020,Texas,Odessa,1100 block of N Jackson,1,0,N/A
1682590,5/15/2020,Louisiana,Crowley,N Western Ave and W 10th St,1,0,N/A
1680864,5/15/2020,Missouri,Saint Louis,2600 block of Hickory St,1,0,N/A
1680184,5/15/2020,Texas,Dallas,9199 Bruton Rd,2,0,N/A
1680631,5/15/2020,Kansas,Kansas City,2103 N 29th St,1,0,N/A
1682456,5/14/2020,Florida,Sebring,Cadagua Dr,1,0,N/A
1680300,5/14/2020,California,Inglewood,Century Blvd and Freeman Ave,1,0,N/A
1683932,5/14/2020,Florida,Hollywood,Function St,1,1,N/A
1679129,5/13/2020,Indiana,South Bend,1100 block of McKinley Ave,1,1,N/A
1679176,5/13/2020,Pennsylvania,Pittsburgh (Wilkinsburg),Laketon Rd and Robinson Rd,1,0,N/A
1678083,5/12/2020,New York,Brooklyn,1550 Sterling Pl,1,0,N/A
1677795,5/12/2020,Florida,Miami,7843 NE 10th Ave,1,0,N/A
1676906,5/10/2020,North Carolina,State Road,1621 Old Hwy 21,1,0,N/A
1677487,5/10/2020,Virginia,Virginia Beach,5819 Northampton Blvd,1,0,N/A
