State,Children_Killed,Teen_Killed,Acci_Child_Killed,Acci_Teen_Killed,Total_Killed
Alabama,16,1,7,2,17
Arizona,12,4,2,5,16
Arkansas,4,1,1,1,5
California,23,21,1,4,44
Florida,18,14,2,8,32
Georgia,11,7,3,5,18
Illinois,10,17,1,5,27
Indiana,6,5,2,4,11
Kansas,3,4,1,4,7
Louisiana,9,6,5,3,15
Mississippi,4,1,3,8,5
Missouri,16,8,4,6,24
North Carolina,13,8,1,2,21
Ohio,8,10,4,5,18
Oklahoma,18,1,2,3,19
Pennsylvania,19,14,2,2,33
South Carolina,15,6,7,3,21
Tennessee,11,6,5,3,17
Texas,35,22,12,20,57
Virginia,8,6,3,1,14
